bucket_label,cashflow_proxy_usd,city,condition_id,event_slug,miss_bucket,notional_usd,outcome,public_playbook,replay_delta_seconds,replay_playbook,replay_size_error_ratio,timestamp_utc,trade_type
76-77°F,-0.250434,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.250434,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:29+00:00,buy
76-77°F,-0.434782,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.434782,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:29+00:00,buy
76-77°F,-0.086956,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.086956,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:29+00:00,buy
76-77°F,-0.348695,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.348695,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:31+00:00,buy
76-77°F,-0.09913,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.09913,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:31+00:00,buy
76-77°F,-0.263478,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.263478,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.4,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.4,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.087826,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.087826,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.087826,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.087826,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.215652,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.215652,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.130434,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.130434,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-10.111111,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,10.111111,no,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.087826,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.087826,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.087826,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.087826,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.095652,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.095652,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.307826,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.307826,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.087826,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.087826,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:35+00:00,buy
76-77°F,-0.086956,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.086956,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:37+00:00,buy
76-77°F,-0.086956,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.086956,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:37+00:00,buy
76-77°F,-2.093,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,2.093,no,asymmetric_paired_accumulation,,,,2026-03-28T14:32:37+00:00,buy
76-77°F,-8.018111,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,8.018111,no,asymmetric_paired_accumulation,,,,2026-03-28T14:32:37+00:00,buy
76-77°F,-0.103478,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.103478,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:37+00:00,buy
76-77°F,-0.43913,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.43913,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:37+00:00,buy
76-77°F,-0.086956,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.086956,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:37+00:00,buy
76-77°F,-0.347826,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.347826,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:39+00:00,buy
76-77°F,-0.173913,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.173913,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:39+00:00,buy
76-77°F,-0.095652,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.095652,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:39+00:00,buy
76-77°F,-0.611304,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.611304,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:39+00:00,buy
76-77°F,-0.113043,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.113043,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:41+00:00,buy
76-77°F,-0.392173,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.392173,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:41+00:00,buy
76-77°F,-0.086956,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.086956,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:41+00:00,buy
76-77°F,-1.0738,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,1.0738,no,asymmetric_paired_accumulation,,,,2026-03-28T14:32:41+00:00,buy
76-77°F,-9.037311,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,9.037311,no,asymmetric_paired_accumulation,,,,2026-03-28T14:32:41+00:00,buy
76-77°F,-0.126086,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.126086,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:41+00:00,buy
76-77°F,-0.116521,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.116521,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:41+00:00,buy
76-77°F,-0.095652,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.095652,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:43+00:00,buy
76-77°F,-0.095652,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.095652,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:45+00:00,buy
76-77°F,-0.086956,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.086956,yes,asymmetric_paired_accumulation,,,,2026-03-28T14:32:45+00:00,buy
76-77°F,-9.1,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,9.1,no,asymmetric_paired_accumulation,,,,2026-03-28T14:32:51+00:00,buy
74-75°F,-0.064204,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.064204,yes,paired_under_par,,,,2026-03-28T14:33:21+00:00,buy
74-75°F,-0.225806,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.225806,yes,paired_under_par,,,,2026-03-28T14:33:21+00:00,buy
74-75°F,-9.137606,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,9.137606,no,paired_under_par,,,,2026-03-28T14:33:39+00:00,buy
74-75°F,-0.35,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.35,yes,paired_under_par,,,,2026-03-28T14:33:39+00:00,buy
74-75°F,-0.102365,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.102365,yes,paired_under_par,,,,2026-03-28T14:33:39+00:00,buy
74-75°F,-0.082795,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.082795,yes,paired_under_par,,,,2026-03-28T14:33:39+00:00,buy
74-75°F,-0.075268,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.075268,yes,paired_under_par,,,,2026-03-28T14:33:39+00:00,buy
74-75°F,-0.207741,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.207741,yes,paired_under_par,,,,2026-03-28T14:33:39+00:00,buy
74-75°F,-0.082795,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.082795,yes,paired_under_par,,,,2026-03-28T14:33:39+00:00,buy
