bucket_label,candidate_playbook,candidate_rejection_reasons,city,condition_id,covered,event_slug,match_condition_side,match_playbook,match_reason,outcome,price,public_playbook,side,size,timestamp_utc,trade_type
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000613794793,paired_under_par,buy,3.258418,2026-03-28T14:40:01+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000911264966,paired_under_par,buy,3.292127,2026-03-28T14:40:01+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000185127452,paired_under_par,buy,21.606736,2026-03-28T14:40:03+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000013222405,paired_under_par,buy,75.629209,2026-03-28T14:40:03+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11,paired_under_par,buy,5.4382,2026-03-28T14:40:03+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004944461338,paired_under_par,buy,1.617972,2026-03-28T14:40:03+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.8800000806722824,paired_under_par,buy,9.916665,2026-03-28T14:40:07+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001987596954,paired_under_par,buy,4.528081,2026-03-28T14:40:07+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:07+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001424001402,paired_under_par,buy,5.617972,2026-03-28T14:40:07+00:00,buy
